,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
35,CICAGAICBAHS4AICAICQGAIDEQXDOAQCAMDQSAYCAEBAEJICAEBQINQBAIBQCAQBAIBQGAQBAIYTQ,Ionia,Noxus,Yasuo,Swain,None,None,372
36,CIBQCAIBCYAQEAICBEBAMBIIBMKRMHBBHI7AEAICAEDQEAQGCQWQCAICAYIQ,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,369
37,CIBQCAIBEIEACBIOCAPCQKZQGE2QGAQFAECAMAICAECQWGIA,Freljord,Shadow Isles,Kalista,Elise,None,None,338
38,CIBQIAQGBEIBUKYHAECACDA4E4UDINYBAICAGAQBAECBUAICAYDQA,Bilgewater,Piltover & Zaun,Twisted Fate,Jinx,None,None,332
39,CIBAGAIDAMKCOCQBAQAQYDI4EYTSQLJUG4AACAIBAQNQ,Noxus,Piltover & Zaun,Draven,Jinx,None,None,331
40,CIBQCAIBCYBAEAICA4FAEBQFBMKBMHBBFUYTUPQAAEAQEBQR,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,325
41,CIBAIAIDAMKCONYIAECACDANDQTCOKBNAIAQCBBUAEBAGAYA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,322
42,CIBQCAIFAMEACAYCBAHRIHRFFAXQGAQDAMCAKAIBAEBSMAICAEBQWLQ,Shadow Isles,Noxus,Draven,Darius,None,None,320
43,CIBAIAIEDMSC2NAIAIDAQCY2DQQS2MJ2AEBAEBQJCQAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,314
44,CIBQGAIBAMLCEBQBAUPCQKZQGE2QCAQFAQBQCAQBA4BQCBIHBMMQCAQFAEAA,Freljord,Shadow Isles,Kalista,Elise,None,None,310
45,CIBACAIBCYEQCAQCAYEQYEIUFQZDSAYBAIAQOAIBAIKQCAQCAUBACAIBAQBQCARGGE2A,Freljord,Ionia,Zed,None,None,None,305
46,CIBQCAIBCYBAEAICA4FAEBQIBMKBMHBBFUYTUPQAAEAQEBQR,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,298
47,CIBQGAIDAITSQAICAMBQMAIEBQOCMJZNGQBAEAIDAMKAGAIEBAISQAA,Noxus,Piltover & Zaun,Draven,Teemo,Jinx,None,297
48,CIBAIAIFDUUDCNAHAIDAICASEARCMLICAEAQKFABAIDAKAQBAIDBYAQBAUATM,Shadow Isles,Bilgewater,Thresh,Gangplank,None,None,296
49,CIBQIAIEDMPSINADAEBAEKJZAMBAEAYFBEBQEAIEAE5AEAICAQYQCAQCAEAA,Piltover & Zaun,Ionia,Ezreal,Karma,None,None,273
50,CIBAEAIDAQQQSAIBAQDQWFQ6EYUTAMQCAEAQGNICAEAQSKQBAEBACAQ,Noxus,Freljord,Ashe,Braum,Sejuani,None,263
